gene,Fish_kME
isogroup11861,0
isogroup11862,0
isogroup11863,0
isogroup11864,0
isogroup11867,0
isogroup11868,0
isogroup11873,0
isogroup11874,0
isogroup11875,0.606291560825064
isogroup11878,0
isogroup1188,0
isogroup11882,0
isogroup11885,0
isogroup11889,0
isogroup11894,0
isogroup11895,0
isogroup11897,0
isogroup11898,0
isogroup119,0.496745365205909
isogroup1190,0.282637219749809
isogroup11903,0.622152350885032
isogroup11904,0
isogroup11905,0
isogroup11906,0
isogroup11907,0
isogroup1191,0.537864289325238
isogroup11911,0
isogroup11912,0.403612099554771
isogroup11914,0
isogroup11917,0
isogroup1192,0.562876048114747
isogroup11921,0
isogroup11922,0
isogroup11923,0
isogroup11932,0
isogroup11935,0
isogroup11937,0
isogroup11938,0
isogroup11939,0
isogroup1194,0.560984317785888
isogroup11940,0.628016804371009
isogroup11942,0
isogroup11949,0
isogroup1195,0.205214748914141
isogroup11950,0
isogroup11955,0
isogroup1196,0.593151263035959
isogroup11961,0
isogroup11963,0
isogroup11964,0
isogroup11966,0
isogroup11970,0
isogroup11973,0
isogroup11974,0
isogroup11975,0
isogroup11976,0
isogroup11978,0
isogroup11979,0
isogroup11981,0
isogroup11982,0
isogroup11986,0
isogroup11987,0
isogroup11988,0
isogroup11989,0
isogroup1199,0.455604313423168
isogroup11996,0.290333175220523
isogroup11998,0
isogroup12,0.73530897774213
isogroup120,0.672711554349878
isogroup1200,0
isogroup12001,0
isogroup12003,0
isogroup12005,0
isogroup12007,0
isogroup12008,0
isogroup1201,0
isogroup12010,0
isogroup12011,0
isogroup12015,0
isogroup12016,0.424282934420005
isogroup12019,0.341324998335819
isogroup1202,0
isogroup12024,0
isogroup12025,0
isogroup12026,0
isogroup12027,0
isogroup12028,0
isogroup12030,0
isogroup12033,0
isogroup12043,0
isogroup12044,0
isogroup12045,0.686317104301188
isogroup12046,0.440575385056979
isogroup12053,0
isogroup12054,0
isogroup12057,0
isogroup12059,0
isogroup1206,0
isogroup12061,0
isogroup12063,0
isogroup12064,0
isogroup12066,0
isogroup12069,0
isogroup12072,0.732790019743544
isogroup12073,0
isogroup12074,0
isogroup12078,0
isogroup12079,0
isogroup1208,0.664581170047547
isogroup12080,0
isogroup12088,0
isogroup12090,0
isogroup12091,0
isogroup12093,0
isogroup12096,0
isogroup12099,0
isogroup121,0
isogroup1210,0.817008799935138
