gene,logP
isogroup29565,-0.2
isogroup29566,4.7
isogroup29567,-2.8
isogroup2957,6.3
isogroup29573,-0.1
isogroup29576,0
isogroup29577,0.8
isogroup29578,-0.6
isogroup29579,-0.1
isogroup2958,0.9
isogroup29580,0.2
isogroup29582,0.9
isogroup29583,0.1
isogroup29584,1.6
isogroup29585,0.6
isogroup29586,2.5
isogroup2959,-2.1
isogroup29590,0.5
isogroup29591,-0.4
isogroup29592,-0.7
isogroup29595,-0.1
isogroup29597,0
isogroup29598,0.6
isogroup29599,-0.6
isogroup296,3
isogroup2960,1.5
isogroup29600,0
isogroup29604,-0.8
isogroup29606,0.4
isogroup29607,1.2
isogroup29609,0.5
isogroup2961,0.1
isogroup29611,1.6
isogroup29612,0.7
isogroup29614,3.4
isogroup29615,-0.2
isogroup29616,-1.9
isogroup29617,4.3
isogroup29618,-3.3
isogroup29619,-1.2
isogroup2962,0.3
isogroup29621,-0.4
isogroup29622,-9.4
isogroup29623,0.5
isogroup29624,0.3
isogroup29625,2.2
isogroup29626,0.3
isogroup29627,0.1
isogroup29628,1
isogroup29630,1.1
isogroup29631,0
isogroup29632,0.9
isogroup29636,0.6
isogroup29637,0.7
isogroup29639,0.1
isogroup2964,-10
isogroup29640,2.4
isogroup29641,-5.8
isogroup29642,0.2
isogroup29643,-0.5
isogroup29645,-0.1
isogroup2965,1.2
isogroup29650,0.6
isogroup29651,1.9
isogroup29654,-0.2
isogroup29656,0
isogroup29657,0.1
isogroup29659,-0.8
isogroup2966,-0.2
isogroup29660,-0.1
isogroup29661,-0.1
isogroup29662,2.1
isogroup29663,2.2
isogroup29664,-3.2
isogroup29665,0.3
isogroup29667,1.3
isogroup29668,0
isogroup29669,0.7
isogroup2967,-0.6
isogroup29670,1
isogroup29671,1.5
isogroup29672,2.8
isogroup29673,-0.5
isogroup29674,0.2
isogroup29675,0.1
isogroup29676,0.6
isogroup29677,1.2
isogroup29678,1.6
isogroup2968,-2.3
isogroup29680,0.3
isogroup29681,1.3
isogroup29682,1
isogroup29684,0
isogroup29685,-0.1
isogroup29689,-0.7
isogroup2969,0.4
isogroup29690,0.7
isogroup29691,-0.2
isogroup29692,-3.5
isogroup29693,-0.3
isogroup29696,0.4
isogroup29697,3.2
isogroup29698,2.1
isogroup29699,0
isogroup297,1.1
isogroup2970,-2.2
isogroup29701,-2.8
isogroup29702,0.3
isogroup29703,0.3
isogroup29704,0.9
isogroup29705,0
isogroup29706,0.3
isogroup29707,1.7
isogroup29708,-2.6
isogroup29709,-1.1
isogroup2971,2
isogroup29710,-2.2
isogroup29711,1.6
isogroup29712,0.8
isogroup29714,4.5
isogroup29715,0.4
isogroup29716,0.4
isogroup29718,0.5
isogroup29719,2.4
isogroup2972,1.1
isogroup29720,0.4
isogroup29721,-5.6
isogroup29723,0.3
isogroup29724,1.4
isogroup29725,0.1
isogroup29726,1.8
isogroup29728,1
isogroup29729,1.9
isogroup2973,-0.4
isogroup29731,1.3
isogroup29732,-0.8
isogroup29733,1.3
isogroup29735,1.4
isogroup29737,0.7
isogroup29738,0.2
isogroup2974,0.8
isogroup29740,-0.2
isogroup29741,-0.3
isogroup29742,0.3
isogroup29744,-0.6
isogroup29745,0.1
isogroup29747,0.4
isogroup29748,0.4
isogroup29749,-5.8
isogroup2975,-0.9
isogroup29750,1.1
isogroup29752,0.4
isogroup29754,-0.6
isogroup29756,0.3
isogroup29757,2
isogroup29759,2.9
isogroup2976,-0.2
isogroup29760,-0.1
isogroup29762,0.8
isogroup29763,0
isogroup29764,0.7
isogroup29766,0.1
isogroup29767,0.6
isogroup29768,1.5
isogroup2977,-0.2
isogroup29770,-0.6
isogroup29771,4
isogroup29772,-0.2
isogroup29773,-0.7
isogroup29774,1.1
isogroup29775,0.1
isogroup29776,-1
isogroup29777,-0.1
isogroup29778,1
isogroup29779,-2.8
isogroup2978,-0.2
isogroup29780,0.1
isogroup29781,2.5
isogroup29782,2.3
isogroup29783,-0.2
isogroup29784,-0.2
isogroup29786,2.7
isogroup29787,0
isogroup29788,1
isogroup29789,-0.2
isogroup2979,0.4
isogroup29790,0
isogroup29791,0.3
isogroup29792,-0.3
isogroup29793,0.4
isogroup29794,1.3
isogroup29795,0
isogroup29796,-0.7
isogroup29797,-0.2
isogroup29798,0.5
isogroup29799,-4.3
isogroup298,1.4
isogroup2980,0
isogroup29800,1
isogroup29801,3.5
isogroup29802,0.1
isogroup29803,0.6
isogroup29806,0.1
isogroup29807,0.4
isogroup29809,0.7
isogroup2981,-1.2
isogroup29810,-0.8
isogroup29811,0.7
isogroup29812,0.5
isogroup29815,0.1
isogroup29817,6.9
isogroup29818,2.3
isogroup2982,-0.9
isogroup29820,-0.6
isogroup29822,0.9
isogroup29823,0.8
isogroup29826,-0.4
isogroup29827,1.2
isogroup29828,0.8
isogroup2983,0.9
isogroup29830,1
isogroup29831,0.3
isogroup29835,0.4
isogroup29836,0.1
isogroup29837,0.7
isogroup29838,0.5
isogroup2984,2.2
isogroup29840,1.6
isogroup29841,0.3
isogroup29842,1.4
isogroup29843,-1.8
isogroup29846,0.1
isogroup29847,0.5
isogroup29849,4.2
isogroup2985,2.4
isogroup29851,0.1
isogroup29853,-10
isogroup29854,0.4
isogroup29855,1.1
isogroup29856,0.8
isogroup29857,0.2
isogroup29858,0
isogroup29859,1.1
isogroup2986,0.2
isogroup29860,0
isogroup29861,-1.3
isogroup29863,1.8
isogroup29864,0.5
isogroup29865,0.6
isogroup29866,0.4
isogroup29867,-1.1
isogroup29868,0.4
isogroup2987,1.5
isogroup29870,0.4
isogroup29872,0.3
isogroup29873,-4.4
isogroup29874,2.9
isogroup29875,-0.3
isogroup29877,0.1
isogroup29878,-0.4
isogroup2988,-3
isogroup29881,0.1
isogroup29882,-0.1
isogroup29883,-0.2
isogroup29884,0
isogroup29886,-0.2
isogroup29887,0
isogroup29889,0.8
isogroup2989,-10
isogroup29892,-0.4
isogroup29894,1.9
isogroup29895,-0.7
isogroup29896,-2.7
isogroup29897,0.2
isogroup29898,0.2
isogroup299,6.1
isogroup2990,1.4
isogroup29900,0.6
isogroup29903,-0.5
isogroup29904,-3.1
isogroup29909,2.4
isogroup2991,1.7
isogroup29910,1.4
isogroup29911,0.2
isogroup29913,0.9
isogroup29914,-1.4
isogroup29917,1.7
isogroup29919,0.4
isogroup2992,2.2
isogroup29920,0.5
isogroup29921,-0.1
isogroup29922,0.8
isogroup29924,-1.4
isogroup29925,-0.4
isogroup29926,0.2
isogroup29929,1
isogroup2993,3
isogroup29930,0.2
isogroup29932,1.5
isogroup29933,1
isogroup29934,0.4
isogroup29935,0
isogroup29937,0.3
isogroup29938,0.3
isogroup29939,5.1
isogroup2994,1.6
isogroup29940,-3
isogroup29941,3.3
isogroup29942,0.4
isogroup29943,0.9
isogroup29944,-0.3
isogroup29945,3.5
isogroup29946,-0.4
isogroup29948,1.4
isogroup29949,0.6
isogroup2995,0.2
isogroup29950,0
isogroup29951,0.9
isogroup29952,1.8
isogroup29954,1.6
isogroup29956,-0.6
isogroup29957,0.7
isogroup29958,1.2
isogroup29959,0.1
isogroup2996,-1.1
isogroup29960,-0.4
isogroup29961,0.8
isogroup29962,0.2
isogroup29963,-0.6
isogroup29964,0.3
isogroup29965,0.2
isogroup29966,-0.7
isogroup29967,0.6
isogroup2997,-1
isogroup29971,-3.8
isogroup29972,0.3
isogroup29973,2.8
isogroup29974,-0.3
isogroup29975,-0.7
isogroup29976,1.7
isogroup29977,0.4
isogroup29978,1.6
isogroup29979,0
isogroup2998,2.5
isogroup29980,0.6
isogroup29983,-5.1
isogroup29984,-0.2
isogroup29985,0.1
isogroup29986,0.7
isogroup29987,-0.4
isogroup29989,-0.2
isogroup2999,0.1
isogroup29993,1.5
isogroup29994,0.3
isogroup29996,2.6
isogroup29998,-1.2
isogroup29999,0.5
isogroup3,6.4
isogroup30,6.6
isogroup300,1.1
isogroup3000,-2.1
isogroup30000,0.3
isogroup30001,0.2
isogroup30002,0
isogroup30003,0.3
isogroup30005,0
isogroup30006,0.5
isogroup30007,0.3
isogroup30008,-5.7
isogroup3001,-0.4
isogroup30010,0.3
isogroup30012,0.3
isogroup30013,-5
isogroup30014,-1.2
isogroup30015,0.2
isogroup30016,0.7
isogroup30018,-0.6
isogroup3002,1.5
isogroup30020,1.8
isogroup30021,0.5
isogroup30022,-0.3
isogroup30023,-1
isogroup30024,0
isogroup30025,-0.4
isogroup30026,0.1
isogroup30029,4.6
isogroup3003,0.1
isogroup30030,-0.3
isogroup30032,-0.1
isogroup30033,1.9
isogroup30036,-0.5
isogroup30037,-2.7
isogroup30039,0.6
isogroup3004,1.5
isogroup30040,-1.2
isogroup30041,0.1
isogroup30042,0.4
isogroup30044,0.6
isogroup30045,-0.1
isogroup30048,0.6
isogroup30049,0.8
isogroup3005,1.1
isogroup30050,0.6
isogroup30051,0
isogroup30054,0.1
isogroup30055,0.3
isogroup30056,1
isogroup30058,-1.2
isogroup30059,-1.2
isogroup3006,1
isogroup30060,0.4
isogroup30062,-0.3
isogroup30063,0.6
isogroup30065,0.5
isogroup30066,-0.3
isogroup30068,-0.1
isogroup30069,3.4
isogroup3007,1
isogroup30071,-9.7
isogroup30073,0.1
isogroup30074,0.5
isogroup30075,-0.1
isogroup30076,0.2
isogroup30077,0.5
isogroup30079,2.1
isogroup3008,0.2
isogroup30080,0.5
isogroup30081,-0.2
isogroup30083,-0.2
isogroup30085,0
isogroup30086,-0.8
isogroup30087,0.3
isogroup30088,0.7
isogroup30089,0.8
isogroup3009,2.5
isogroup30090,0
isogroup30092,0.9
isogroup30096,-1.6
isogroup30097,2.4
isogroup30098,-0.2
isogroup301,0.3
isogroup3010,0.1
isogroup30101,0.1
isogroup30103,2.8
isogroup30105,0.8
isogroup30106,-0.3
isogroup30107,0
isogroup30108,0.2
isogroup3011,-10
isogroup30111,1.7
isogroup30112,0.1
isogroup30114,-0.2
isogroup30115,-0.2
isogroup30116,1
isogroup30117,0.3
isogroup30118,0.2
isogroup30119,0.5
isogroup3012,0.1
isogroup3012.1,0.5
isogroup30120,0.3
isogroup30121,2.3
isogroup30122,0.3
isogroup30123,0.1
isogroup30125,-0.1
isogroup30126,2
isogroup30128,0.1
isogroup30129,0.8
isogroup3013,-0.2
isogroup30130,0.7
isogroup30132,0.8
isogroup30133,2.1
isogroup30134,0.7
isogroup30135,0.3
isogroup30137,-0.2
isogroup30138,1.7
isogroup30139,0.5
isogroup3014,2.2
isogroup30140,-2.9
isogroup30142,0
isogroup30144,-0.3
isogroup30146,-4.3
isogroup30147,0.8
isogroup3015,0.2
isogroup30150,0.3
isogroup30151,-6.1
isogroup30152,0.6
isogroup30155,1.2
isogroup30156,0.4
isogroup30157,-0.1
isogroup30158,0.7
isogroup30159,0.5
isogroup3016,2.6
isogroup30160,1
isogroup30162,1.2
isogroup30163,0.2
isogroup30164,3.3
isogroup30166,1.7
isogroup30168,-1.1
isogroup30169,-10
isogroup3017,0
isogroup30171,0.2
isogroup30174,1.7
isogroup30175,0
isogroup30176,0.4
isogroup30177,-0.1
isogroup30178,1.5
isogroup30179,-0.4
isogroup3018,0.8
isogroup30180,3.5
isogroup30181,0.3
isogroup30182,0
isogroup30183,0.4
isogroup30184,0
isogroup30185,0
isogroup30188,0.4
isogroup3019,-1.1
isogroup30190,0.1
isogroup30191,-0.5
isogroup30192,0.6
isogroup30193,1.3
isogroup30194,0.4
isogroup30195,0.3
isogroup30196,1
isogroup302,-0.3
isogroup3020,0.3
isogroup30200,1.9
isogroup30201,-2.2
isogroup30203,0
isogroup30206,1.5
isogroup30207,1.4
isogroup30208,0.4
isogroup30209,1
isogroup3021,0.6
isogroup30210,0.7
isogroup30211,0.2
isogroup30212,0.3
isogroup30213,0.1
isogroup30215,-0.5
isogroup30216,-0.1
isogroup30217,0.5
isogroup3022,-2.9
isogroup30220,2.4
isogroup30221,0.1
isogroup30222,1.3
isogroup30223,1.8
isogroup30224,0
isogroup30227,0.1
isogroup30228,0.1
isogroup30229,0.1
isogroup3023,2
isogroup30231,1.5
isogroup30233,0.6
isogroup30234,-0.6
isogroup30235,0.7
isogroup30236,1.8
isogroup30237,0.5
isogroup30238,0.2
isogroup30239,0.6
isogroup3024,-0.1
isogroup30240,0.9
isogroup30242,0.1
isogroup30243,0.4
isogroup30244,0.6
isogroup30246,0.1
isogroup30247,2
isogroup30248,0.1
isogroup30249,0.9
isogroup3025,0.1
isogroup30250,0.2
isogroup30251,1.2
isogroup30252,0
isogroup30253,2.4
isogroup30254,1.1
isogroup30257,1.3
isogroup3026,4
isogroup30260,0.3
isogroup30261,1.1
isogroup30263,-0.1
isogroup30264,1.3
isogroup30266,-0.2
isogroup30267,1
isogroup30268,-0.3
isogroup30269,-0.1
isogroup3027,1.1
isogroup30271,-0.5
isogroup30272,2.2
isogroup30273,0.2
isogroup30274,1.1
isogroup30275,-1.5
isogroup30278,1.5
isogroup30279,0.8
isogroup3028,-3.4
isogroup30280,-10
isogroup30281,-6.3
isogroup30284,0.3
isogroup30285,0.4
isogroup30286,0.3
isogroup30288,0.1
isogroup30289,0.4
isogroup3029,-0.2
isogroup30290,0.1
isogroup30291,0
isogroup30292,0.9
isogroup30293,-0.9
isogroup30294,-1.1
isogroup30295,0.3
isogroup30296,0.4
isogroup30297,-0.2
isogroup30298,0.4
isogroup303,6.2
isogroup3030,1.5
isogroup30300,0.2
isogroup30302,-0.1
isogroup30303,-1
isogroup30304,-1.3
isogroup30305,-3.2
isogroup30307,0.2
isogroup30309,1.8
isogroup3031,0.3
isogroup30310,-9.9
isogroup30311,0.4
isogroup30312,0.5
isogroup30313,0.5
isogroup30316,0.2
isogroup30317,0.2
isogroup30318,0.5
isogroup30319,-1.4
isogroup3032,0.1
isogroup30320,-4.6
isogroup30321,1.3
isogroup30323,0
isogroup30324,0.1
isogroup30326,1.8
isogroup30327,1.1
isogroup30328,0.1
isogroup30329,0.3
isogroup3033,1.3
isogroup30331,0.6
isogroup30332,0.2
isogroup30333,2
isogroup30335,2.6
isogroup30336,0.6
isogroup30337,-1.2
isogroup30338,-1.2
isogroup30339,2.1
isogroup3034,0
isogroup30340,0.9
isogroup30342,3.4
isogroup30344,-0.1
isogroup30345,0.1
isogroup30346,0.1
isogroup30348,2.4
isogroup30349,0
isogroup3035,1.7
isogroup30350,1.5
isogroup30351,2.4
isogroup30353,0.2
isogroup30354,0.8
isogroup30355,0.5
isogroup3036,0.5
isogroup30360,2.3
isogroup30361,-0.1
isogroup30362,0.8
isogroup30365,0.8
isogroup30367,0.1
isogroup30368,0
isogroup30369,0.3
isogroup3037,0.1
isogroup30370,0.2
isogroup30371,-0.2
isogroup30372,-0.8
isogroup30373,-0.2
isogroup30374,-0.2
isogroup30376,-2.5
isogroup30377,-0.3
isogroup30378,-0.1
isogroup30379,0.7
isogroup3038,0
isogroup30380,0.2
isogroup30381,0.1
isogroup30383,-0.9
isogroup30384,0
isogroup30385,-2.7
isogroup30386,1.1
isogroup30387,0.2
isogroup30388,-0.6
isogroup30389,0.9
isogroup3039,-0.1
isogroup30390,-0.7
isogroup30391,0.7
isogroup30392,0.5
isogroup30394,0.6
isogroup30397,0.5
isogroup30398,-4.5
isogroup304,5.5
isogroup3040,1.2
isogroup30400,0.9
isogroup30401,0.5
isogroup30404,0.1
isogroup30405,-0.4
isogroup30406,-0.6
isogroup30407,0.1
isogroup30408,-1.8
isogroup3041,1.8
isogroup30411,-2
isogroup30414,3.5
isogroup30415,-7.7
isogroup30416,0.8
isogroup30418,0
isogroup30419,2.4
isogroup3042,-0.5
isogroup30420,0.5
isogroup30421,-0.8
isogroup30422,-0.4
isogroup30423,0.7
isogroup30425,0.5
isogroup30428,0
isogroup30429,0.1
isogroup3043,0.2
isogroup30430,0.1
isogroup30431,-1
isogroup30432,0.9
isogroup30433,0.9
isogroup30434,0.5
isogroup30435,0.1
isogroup30436,0.4
isogroup30437,0.4
isogroup30438,1.1
isogroup3044,-0.5
isogroup30444,0.6
isogroup30445,0.2
isogroup30446,0.7
isogroup30447,0
isogroup30448,0.2
isogroup30449,-0.1
isogroup3045,1.3
isogroup30450,-1.8
isogroup30452,2.8
isogroup30454,0.6
isogroup30457,1.7
isogroup3046,1.3
isogroup30461,-0.1
isogroup30462,0
isogroup30463,1.8
isogroup30464,-0.2
isogroup30465,-1
isogroup30466,3.7
isogroup30468,0.5
isogroup3047,1.8
isogroup30470,0.8
isogroup30473,-1.9
isogroup30474,-0.1
isogroup30477,-0.1
isogroup30478,-1.4
isogroup3048,-1.2
isogroup30482,1
isogroup30483,-0.6
isogroup30484,0.6
isogroup30485,-0.6
isogroup30486,-0.2
isogroup30487,0.1
isogroup30489,-0.3
isogroup3049,0.7
isogroup30490,0.4
isogroup30491,-0.9
isogroup30493,2.8
isogroup30494,0.5
isogroup30495,0
isogroup30496,0.5
isogroup30497,0.3
isogroup30498,1.6
isogroup30499,0.7
isogroup305,-0.2
isogroup3050,0.1
isogroup30500,1.6
isogroup30503,1
isogroup30505,2.9
isogroup30506,0.2
isogroup30507,1.2
isogroup30508,0.1
isogroup30509,0.7
isogroup3051,0.1
isogroup30510,1.7
isogroup30512,0.8
isogroup30513,-0.9
isogroup30515,1.2
isogroup30516,0.1
isogroup30518,0.1
isogroup30519,0.6
isogroup3052,0
isogroup30520,0.6
isogroup30522,3.3
isogroup30523,0.4
isogroup30524,-1.2
isogroup30525,0.5
isogroup30526,0.2
isogroup30527,1.1
isogroup30528,1.1
isogroup30529,0.4
isogroup3053,-1
isogroup30531,0.1
isogroup30532,2.6
isogroup30533,-2.6
isogroup30534,0.1
isogroup30535,0.2
isogroup30536,-0.1
isogroup30537,0.3
isogroup30538,0
isogroup30539,-0.1
isogroup3054,1.3
isogroup30540,-6.5
isogroup30541,-0.5
isogroup30543,0.2
isogroup30546,0.8
isogroup30548,0.8
isogroup30549,-2.4
isogroup3055,0.1
isogroup3055.1,-0.2
isogroup30550,0.4
isogroup30552,2
isogroup30553,-7.4
isogroup30555,0.4
isogroup30556,2.7
isogroup30557,0.1
isogroup30558,-10
isogroup30559,1
isogroup3056,0.2
isogroup30560,-0.5
isogroup30561,1.2
isogroup30562,2.9
isogroup30563,-0.7
isogroup30565,-1.5
isogroup30566,1.6
isogroup30567,0.7
isogroup30568,0.2
isogroup3057,2.9
isogroup30572,-1
isogroup30573,2.1
isogroup30574,1.9
isogroup30575,-0.1
isogroup30578,0.4
isogroup30579,-0.1
isogroup3058,-2.9
isogroup30580,0.4
isogroup30581,1.3
isogroup30582,0.2
isogroup30584,-0.1
isogroup30586,0.9
isogroup30589,0.2
isogroup3059,-3.9
isogroup30590,0.2
isogroup30592,0.5
isogroup30593,-0.9
isogroup30594,1.7
isogroup30595,0.7
isogroup30596,-8.8
isogroup30597,-0.4
isogroup30598,0.3
isogroup30599,0.9
isogroup306,4.1
isogroup3060,-1.3
isogroup30600,0.4
isogroup30601,-0.1
isogroup30602,0.3
isogroup30604,1
isogroup30605,-0.2
isogroup30606,1
isogroup30607,-5.1
isogroup30608,1.5
isogroup30609,1.4
isogroup3061,5.1
isogroup30611,2.3
isogroup30612,-5.7
isogroup30613,-7.4
isogroup30614,-0.7
isogroup30615,0.2
isogroup30617,1.2
isogroup30619,-0.7
isogroup3062,0.9
isogroup30620,1.5
isogroup30623,-4.6
isogroup30626,-0.3
isogroup30627,0.2
isogroup30628,1.8
isogroup3063,-1.3
isogroup30630,0.9
isogroup30631,0
isogroup30632,-0.2
isogroup30634,1.3
isogroup30636,-0.1
isogroup30637,0.7
isogroup30638,0.2
isogroup3064,1.3
isogroup30640,0.4
isogroup30641,-0.8
isogroup30643,0.1
isogroup30644,-0.2
isogroup30645,-1
isogroup30646,0.4
isogroup30648,0.7
isogroup30649,0
isogroup3065,0.1
isogroup30650,0.7
isogroup30651,-0.2
isogroup30653,1.1
isogroup30654,0.4
isogroup30655,1.4
isogroup30656,1.8
isogroup30658,0.4
isogroup30659,-0.3
isogroup3066,0.3
isogroup30661,-0.1
isogroup30662,0.2
isogroup30663,1.2
isogroup30664,0.5
isogroup30665,-0.2
isogroup30667,2.2
isogroup3067,0.5
isogroup30671,1.4
isogroup30672,0.4
isogroup30673,-0.5
isogroup30674,4.7
isogroup30675,0.8
isogroup30676,-0.8
isogroup30677,0.8
isogroup30679,-0.7
isogroup3068,3.3
isogroup30681,-0.2
isogroup30682,-1.4
isogroup30684,-0.2
isogroup30686,0.3
isogroup30687,0.6
isogroup30689,0.1
isogroup3069,9.5
isogroup30690,-0.7
isogroup30691,-0.2
isogroup30693,0.1
isogroup30695,0.1
isogroup30696,-6
isogroup30698,0.2
isogroup307,0.1
isogroup30703,-1.7
isogroup30704,0.8
isogroup30706,0.4
isogroup30709,1.1
isogroup3071,1
isogroup30710,0.3
isogroup30711,0.7
isogroup30713,0.8
isogroup30714,0.4
isogroup30715,1.2
isogroup30716,1.4
isogroup30717,1.5
isogroup30719,0.7
isogroup3072,-0.7
isogroup30722,-0.4
isogroup30723,-1.2
isogroup30724,-0.5
isogroup30725,0.5
isogroup30726,0.6
isogroup30728,0.7
isogroup30729,0.1
isogroup3073,1.1
isogroup30730,-0.1
isogroup30731,7.8
isogroup30732,1.4
isogroup30733,0.4
isogroup30738,0.5
isogroup3074,1.7
isogroup30741,0.2
isogroup30742,0.5
isogroup30744,-2.8
isogroup30745,0
isogroup30747,1.9
isogroup30748,-0.2
isogroup30751,2.2
isogroup30752,0.6
isogroup30753,10
isogroup30754,0.4
isogroup30755,0.8
isogroup30756,-0.2
isogroup30757,0.9
isogroup30759,-0.7
isogroup3076,1.1
isogroup30760,0.4
isogroup30761,0.3
isogroup30762,0.8
isogroup30764,0.8
isogroup30766,0.1
isogroup30768,0.2
isogroup3077,-0.5
isogroup30770,-1.7
isogroup30771,0.5
isogroup30772,0.6
isogroup30773,0.2
isogroup30774,0.4
isogroup30775,1
isogroup30776,0.5
isogroup30778,0.1
isogroup30779,0.2
isogroup3078,1.4
isogroup30780,1.3
isogroup30781,-0.2
isogroup30782,1.2
isogroup30783,0
isogroup30784,1.8
isogroup30786,1
isogroup30788,-0.2
isogroup3079,0.3
isogroup30790,0.9
isogroup30791,0.3
isogroup30794,1.3
isogroup30795,0.4
isogroup30796,0
isogroup30798,-10
isogroup308,3.7
isogroup30800,-2.5
isogroup30802,0.4
isogroup30803,1.2
isogroup30804,1.1
isogroup30805,0.5
isogroup30806,1.1
isogroup30807,0.9
isogroup30808,-1.4
isogroup30809,0.2
isogroup3081,-2.6
isogroup30810,0.8
isogroup30811,-0.2
isogroup30813,2.3
isogroup30814,0.5
isogroup30816,2.1
isogroup30818,1
isogroup30819,0.5
isogroup3082,0.5
isogroup30821,-0.3
isogroup30823,0.9
isogroup30824,0.2
isogroup30825,0.3
isogroup30829,0.8
isogroup3083,1.4
isogroup30830,0.7
isogroup30831,0.3
isogroup30833,0.6
isogroup30836,-1.1
isogroup30837,1.3
isogroup30838,0.6
isogroup3084,-1.4
isogroup30840,0
isogroup30841,0.6
isogroup30843,-0.6
isogroup30845,-0.8
isogroup30848,1.2
isogroup3085,-0.9
isogroup30851,1.6
isogroup30853,0.2
isogroup30854,0.2
isogroup30856,0.2
isogroup30857,0.8
isogroup30858,-0.9
isogroup30859,-0.3
isogroup3086,2.1
isogroup30861,0.2
isogroup30863,-0.2
isogroup30865,-4.6
isogroup30866,0.6
isogroup30868,0.7
isogroup30869,-0.3
isogroup3087,0.3
isogroup3087.1,0.4
isogroup3087.2,0.5
isogroup30870,0
isogroup30871,0.9
isogroup30872,0.9
isogroup30873,0.7
isogroup30874,0.2
isogroup30875,-0.2
isogroup30876,4.3
isogroup30877,-0.4
isogroup30878,0.8
isogroup30879,0.7
isogroup3088,0.5
isogroup30880,0.1
isogroup30881,-2.4
isogroup30883,0.1
isogroup30884,-9.9
isogroup30885,0.5
isogroup30886,3.4
isogroup30887,-10
isogroup30888,-0.6
isogroup30889,0
isogroup3089,0.3
isogroup30893,0.5
isogroup30894,-0.7
isogroup30895,1
isogroup30896,0.7
isogroup30897,-3.4
isogroup30898,-0.5
isogroup309,-0.1
isogroup3090,0.3
isogroup30901,0.6
isogroup30902,-10
isogroup30903,0.6
isogroup30904,1
isogroup30905,1.7
isogroup30906,0.2
isogroup30907,0.3
isogroup30908,-1.4
isogroup30909,0.4
isogroup3091,0.6
isogroup30910,-0.9
isogroup30911,0.1
isogroup30913,0.2
isogroup30916,0
isogroup30918,1.7
isogroup30919,-0.2
isogroup3092,1.9
isogroup30920,1.6
isogroup30921,0.7
isogroup30922,-0.2
isogroup30924,-9.6
isogroup30925,1
isogroup30927,1
isogroup30929,1
isogroup30930,0.8
isogroup30934,1.7
isogroup30935,3.8
isogroup30936,0.5
isogroup30937,0
isogroup3094,0.9
isogroup30940,0.3
isogroup30941,1.3
isogroup30942,-0.1
isogroup30943,0.7
isogroup30948,1
isogroup30949,0
isogroup3095,1.6
isogroup30951,0.1
isogroup30953,0.7
isogroup30954,-0.2
isogroup30955,0
isogroup30956,0.3
isogroup30957,4.2
isogroup30958,0.3
isogroup3096,3.2
isogroup30960,-0.2
isogroup30961,1.2
isogroup30962,0.2
isogroup30963,0.6
isogroup30964,-7
isogroup30966,1.2
isogroup30967,1.3
isogroup30969,-0.1
isogroup3097,0.3
isogroup30970,0.4
isogroup30971,0.3
isogroup30972,0.4
isogroup30974,0.6
isogroup30975,-0.2
isogroup30976,0.3
isogroup3098,0.6
isogroup30980,0.9
isogroup30981,0.3
isogroup30982,-0.3
isogroup30983,0.1
isogroup30984,-0.9
isogroup30985,0.6
isogroup30988,0.9
isogroup3099,1.3
isogroup30990,-0.1
isogroup30991,0.8
isogroup30993,0.6
isogroup30995,0.2
isogroup30996,-0.4
isogroup30997,0.1
isogroup30998,1.6
isogroup30999,-0.1
isogroup31,6.2
isogroup310,4.1
isogroup3100,1.5
isogroup31000,1.4
isogroup31002,0.2
isogroup31003,3.4
isogroup31004,1.1
isogroup31006,0.5
isogroup31008,-0.7
isogroup31009,1.1
isogroup3101,2.2
isogroup31010,2.1
isogroup31011,0.3
isogroup31013,-1.3
isogroup31014,0.4
isogroup31016,0.2
isogroup31018,1.5
isogroup31019,0.2
isogroup3102,0
isogroup31022,10
isogroup31024,0.7
isogroup31025,0.1
isogroup31028,2.9
isogroup31029,-0.9
isogroup3103,1.3
isogroup31031,0.8
isogroup31033,-0.5
isogroup31035,1.1
isogroup31037,-3.8
isogroup31038,0.2
isogroup3104,0.1
isogroup31040,-1.4
isogroup31041,-5.4
isogroup31043,1.3
isogroup31044,1
isogroup31046,0.8
isogroup31047,-0.6
isogroup31049,-0.1
isogroup3105,2
isogroup3105.1,1.6
isogroup3105.2,0.1
isogroup31053,5.2
isogroup31054,0.2
isogroup31055,3
isogroup31056,-0.6
isogroup31057,0.9
isogroup31058,0.2
isogroup3106,0.7
isogroup31060,0.1
isogroup31062,0.5
isogroup31063,0.3
isogroup31065,0.7
isogroup31066,0.7
isogroup31067,0.6
isogroup31069,0.3
isogroup3107,0.2
isogroup31070,0.4
isogroup31071,-0.1
isogroup31072,-0.1
isogroup31074,0.7
isogroup31075,0.4
isogroup31076,-1.8
isogroup31077,-0.2
isogroup3108,1.9
isogroup31080,0.8
isogroup31081,2.4
isogroup31083,0.9
isogroup31084,-0.5
isogroup31085,0.8
isogroup31086,0.7
isogroup31087,0
isogroup31088,0.1
isogroup31089,-0.1
isogroup3109,0.9
isogroup31090,1
isogroup31092,-0.1
isogroup31093,0.4
isogroup31095,-3.6
isogroup31096,1.8
isogroup31098,0.6
isogroup31099,-0.2
isogroup311,1.6
isogroup3110,0.5
isogroup31102,0.2
isogroup31106,0.1
isogroup31107,0.4
isogroup31108,-5.7
isogroup31109,0.2
isogroup3111,0.1
isogroup31110,-2.4
