gene,lp
isogroup10332,-0.36
isogroup10333,-0.3
isogroup10334,-1.02
isogroup10335,0.41
isogroup10336,-0.87
isogroup10337,0.23
isogroup10338,1.03
isogroup10339,-0.3
isogroup1034,0.29
isogroup10340,-0.25
isogroup10340.1,0.14
isogroup10341,0.25
isogroup10342,0.62
isogroup10343,1.81
isogroup10344,-1.02
isogroup10345,0.41
isogroup10346,-1.18
isogroup10347,-0.22
isogroup10348,-0.39
isogroup10349,-0.03
isogroup1035,1.8
isogroup10350,0.28
isogroup10351,0.61
isogroup10352,0.51
isogroup10353,0
isogroup10354,-0.4
isogroup10355,0.97
isogroup10356,0.05
isogroup10357,-1.11
isogroup10358,-0.78
isogroup10359,0.02
isogroup1036,0.02
isogroup10360,-0.27
isogroup10361,-0.71
isogroup10362,-0.84
isogroup10363,1.41
isogroup10364,0
isogroup10365,-0.24
isogroup10366,-0.78
isogroup10367,-0.5
isogroup10368,-0.11
isogroup10369,-0.28
isogroup1037,-0.02
isogroup10370,0
isogroup10371,1.6
isogroup10372,0.44
isogroup10373,-0.2
isogroup10374,-0.41
isogroup10375,0.01
isogroup10376,-0.01
isogroup10377,-0.58
isogroup10378,0.66
isogroup10379,-1.34
isogroup1038,-2.54
isogroup10380,0.36
isogroup10381,0.6
isogroup10382,2.12
isogroup10383,-1.35
isogroup10384,0.01
isogroup10385,-0.64
isogroup10386,-0.3
isogroup10387,0.41
isogroup10388,0.08
isogroup10389,1.28
isogroup1039,0.63
isogroup10390,-1.07
isogroup10391,0.96
isogroup10392,0.82
isogroup10393,0.17
isogroup10394,0.68
isogroup10395,-0.84
isogroup10396,-0.3
isogroup10397,-0.51
isogroup10398,0.55
isogroup10399,1
isogroup104,-0.03
isogroup1040,-0.04
isogroup10400,1.58
isogroup10401,-0.87
isogroup10402,0.16
isogroup10403,-0.61
isogroup10404,-0.11
isogroup10405,-0.09
isogroup10406,-0.53
isogroup10408,1.31
isogroup10409,1.26
isogroup1041,-0.54
isogroup10410,0.49
isogroup10411,0.08
isogroup10412,0.48
isogroup10413,1.12
isogroup10414,0.42
isogroup10414.1,-0.91
isogroup10415,0.42
isogroup10416,-0.18
isogroup10417,-0.22
isogroup10418,0.51
isogroup10419,0.3
isogroup1042,1.4
isogroup10420,-0.42
isogroup10421,0.18
isogroup10422,-0.15
isogroup10423,0.01
isogroup10424,0.01
isogroup10425,-0.28
isogroup10426,2.66
isogroup10427,-0.11
isogroup10428,-3.52
isogroup10429,1.19
isogroup1043,-1.92
isogroup10430,1.12
isogroup10431,-1.14
isogroup10432,-1.06
isogroup10433,0.38
isogroup10434,-0.12
isogroup10435,0.68
isogroup10436,0.61
isogroup10437,-1.38
isogroup10438,0.03
isogroup10439,-2.2
isogroup1044,-2.11
isogroup10440,-0.08
isogroup10441,1.18
isogroup10442,0.08
isogroup10443,-0.42
isogroup10444,0.37
isogroup10445,0.2
isogroup10446,0.08
isogroup10448,0.2
isogroup1045,5.72
isogroup10450,-1.69
isogroup10451,1.13
isogroup10452,3.22
isogroup10453,0.54
isogroup10454,0.23
isogroup10455,0.79
isogroup10456,0.01
isogroup10457,0.93
isogroup10458,-0.25
isogroup10459,-0.01
isogroup1046,-2.14
isogroup10460,-0.62
isogroup10461,-1.11
isogroup10462,-0.13
isogroup10463,0.6
isogroup10464,0.13
isogroup10465,0.61
isogroup10466,-0.29
isogroup10467,0.58
isogroup10468,-0.42
isogroup10469,-0.15
isogroup1047,-0.05
isogroup10470,-0.18
isogroup10471,-0.38
isogroup10472,2.51
isogroup10473,0.77
isogroup10474,-0.67
isogroup10475,-0.27
isogroup10476,-0.98
isogroup10477,-0.82
isogroup10477.1,-0.55
isogroup10478,1.3
isogroup10479,0.08
isogroup1048,-0.84
isogroup10480,0.99
isogroup10481,1.15
isogroup10482,-0.49
isogroup10483,5.38
isogroup10484,1
isogroup10485,0.05
isogroup10486,-0.01
isogroup10487,0.17
isogroup10488,-0.38
isogroup10489,0.2
isogroup1049,0.13
isogroup10490,-0.41
isogroup10491,0
isogroup10492,0.77
isogroup10493,0.52
isogroup10494,1.86
isogroup10495,0.05
isogroup10496,-0.71
isogroup10497,-0.3
isogroup10498,1.45
isogroup10499,-0.12
isogroup105,-1.52
isogroup1050,-0.06
isogroup10500,-3.67
isogroup10501,-0.03
isogroup10502,-1.05
isogroup10503,-0.36
isogroup10504,1.18
isogroup10505,0.25
isogroup10506,-0.34
isogroup10507,-0.47
isogroup10508,0.61
isogroup10509,-0.48
isogroup1051,8.53
isogroup10510,-0.05
isogroup10511,0.01
isogroup10512,-0.13
isogroup10513,2.68
isogroup10514,0.06
isogroup10515,-0.05
isogroup10516,-1.43
isogroup10517,0.9
isogroup10518,0.8
isogroup10519,0.11
isogroup1052,0.03
isogroup10520,-1.76
isogroup10521,-1.04
isogroup10522,0.11
isogroup10523,0.14
isogroup10524,0.6
isogroup10525,-3.84
isogroup10526,3.37
isogroup10527,-0.06
isogroup10528,-0.19
isogroup10529,-0.95
isogroup1053,-1.19
isogroup10530,-0.98
isogroup10531,-1.31
isogroup10532,-2.07
isogroup10533,0.98
isogroup10534,-0.19
isogroup10535,-0.82
isogroup10536,0.06
isogroup10537,0.86
isogroup10538,0
isogroup10539,6.58
isogroup1054,0.04
isogroup10540,1.31
isogroup10541,-0.12
isogroup10542,0.07
isogroup10543,0.64
isogroup10544,0.52
isogroup10545,-0.11
isogroup10546,0.43
isogroup10547,-1.94
isogroup10548,2.75
isogroup10549,0.04
isogroup1055,-3.22
isogroup10550,0.02
isogroup10551,0.23
isogroup10552,1.7
isogroup10553,1.25
isogroup10554,0.27
isogroup10555,-0.56
isogroup10556,2.29
isogroup10557,1.56
isogroup10558,-0.03
isogroup10559,-0.51
isogroup1056,-0.53
isogroup10560,-1.11
isogroup10561,-2.34
isogroup10562,0.36
isogroup10563,-3.41
isogroup10564,1.45
isogroup10565,-1.25
isogroup10566,-0.01
isogroup10567,-0.63
isogroup10568,-0.16
isogroup10569,-3.29
isogroup10570,-1.23
isogroup10571,-0.91
isogroup10572,0.67
isogroup10573,-0.17
isogroup10574,-0.1
isogroup10575,0.83
isogroup10576,0.35
isogroup10577,0.39
isogroup10578,-0.05
isogroup10579,-0.21
isogroup1058,-0.91
isogroup10580,0.06
isogroup10581,-1.66
isogroup10582,0.28
isogroup10583,-0.07
isogroup10584,-1.18
isogroup10585,0.15
isogroup10586,4.11
isogroup10587,-1.25
isogroup10588,-0.06
isogroup10588.1,-0.82
isogroup10589,0.79
isogroup1059,-0.13
isogroup10590,-0.01
isogroup10591,-0.09
isogroup10592,7.55
isogroup10593,0.55
isogroup10594,5.12
isogroup10595,0.54
isogroup10596,-0.97
isogroup10597,1.09
isogroup10598,0.4
isogroup10599,2.86
isogroup106,-1.42
isogroup1060,0.5
isogroup10600,0.43
isogroup10601,0.98
isogroup10602,1.55
isogroup10603,-1.03
isogroup10604,0
isogroup10605,0.98
isogroup10606,-0.51
isogroup10607,0.27
isogroup10608,0.25
isogroup10609,0.07
isogroup1061,-2.26
isogroup10610,1.59
isogroup10611,-0.13
isogroup10613,0.71
isogroup10614,0.21
isogroup10615,-1
isogroup10616,-0.39
isogroup10617,0.15
isogroup10618,1.41
isogroup10619,0.34
isogroup1062,-0.54
isogroup10620,-0.18
isogroup10621,1.01
isogroup10622,-0.5
isogroup10623,0.02
isogroup10624,1.24
isogroup10625,1.14
isogroup10626,-1.26
isogroup10628,-0.21
isogroup1063,-0.91
isogroup10632,6.94
isogroup10633,1.23
isogroup10634,0.42
isogroup10635,-0.08
isogroup10636,1.93
isogroup10637,0.25
isogroup10638,0.61
isogroup10639,4.21
isogroup1064,0.62
isogroup10640,-1.22
isogroup10641,-0.71
isogroup10642,-0.44
isogroup10643,-0.16
isogroup10644,-0.91
isogroup10645,-2.28
isogroup10647,-0.71
isogroup10648,0.18
isogroup10649,-2.48
isogroup1065,-0.54
isogroup10650,-0.11
isogroup10651,-1.48
isogroup10652,-0.57
isogroup10654,-4.07
isogroup10655,-0.47
isogroup10656,0.46
isogroup10657,-0.8
isogroup10658,-0.83
isogroup10659,-0.56
isogroup1066,-0.36
isogroup10660,-0.13
isogroup10661,2.76
isogroup10662,-0.51
isogroup10663,0.07
isogroup10664,-0.54
isogroup10665,-2.16
isogroup10666,2.07
isogroup10667,-0.43
isogroup10668,0.52
isogroup10669,-0.06
isogroup1067,-1.24
isogroup10670,-0.36
isogroup10671,0.09
isogroup10672,-0.25
isogroup10673,-0.54
isogroup10674,0.08
isogroup10675,0.43
isogroup10676,-0.19
isogroup10677,-0.01
isogroup10678,0.63
isogroup10679,-0.02
isogroup1068,0.89
isogroup10680,-0.82
isogroup10681,0.68
isogroup10682,1.43
isogroup10683,-0.01
isogroup10684,-1.97
isogroup10685,-0.67
isogroup10687,2.81
isogroup10688,0.27
isogroup10689,1.15
isogroup1069,0.14
isogroup10690,-0.91
isogroup10691,1.24
isogroup10692,1.67
isogroup10693,-2.25
isogroup10694,-0.12
isogroup10695,0.27
isogroup10696,-0.26
isogroup10697,0.76
isogroup10698,-0.46
isogroup10699,0.82
isogroup107,0.14
isogroup1070,-0.46
isogroup10700,-0.4
isogroup10701,-0.01
isogroup10702,-2.38
isogroup10703,0.68
isogroup10704,-0.6
isogroup10705,-0.16
isogroup10706,0.68
isogroup10707,-0.07
isogroup10708,-0.45
isogroup10709,-0.74
isogroup1071,-1.64
isogroup10710,-0.17
isogroup10711,0.34
isogroup10712,0.04
isogroup10713,-1.24
isogroup10714,-3.56
isogroup10715,-0.83
isogroup10716,1.33
isogroup10717,-0.34
isogroup10718,0.26
isogroup10719,1.3
isogroup1072,-0.07
isogroup10720,0.37
isogroup10721,-0.09
isogroup10722,-0.92
isogroup10723,0.46
isogroup10724,0.59
isogroup10725,-0.02
isogroup10726,1.04
isogroup10727,0.3
isogroup10728,-0.17
isogroup10729,-0.02
isogroup1073,0.2
isogroup10730,2.64
isogroup10731,-0.29
isogroup10732,1.6
isogroup10733,-0.61
isogroup10734,0.56
isogroup10736,4.49
isogroup10737,0.91
isogroup10738,1.9
isogroup10739,-1.06
isogroup1074,-3.99
isogroup10740,0.53
